date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2013-12-10,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-11,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-12,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-13,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-16,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-17,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-18,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-19,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-20,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-23,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-24,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-25,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-26,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-27,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-30,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-31,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-02-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-25,1.0,1.0,1.0,1.0,1.0,1.0
