,rank_ic
2017-01-16,-0.02825317942840687
2017-01-23,0.2303211019815463
2017-02-06,-0.008085420499370076
2017-02-13,-0.16197152539074763
2017-02-20,-0.13038392720754893
2017-02-27,-0.11262361983085831
2017-03-06,-0.07780695312190083
2017-03-13,0.005835519401491994
2017-03-20,-0.09246722417888689
2017-03-27,-0.18075806758452465
2017-04-05,-0.2661552800834995
2017-04-12,-0.27773778744877775
2017-04-19,-0.11901968616736774
2017-04-26,0.015628592801567354
2017-05-04,-0.1418432065400623
2017-05-11,0.09673337674706997
2017-05-18,-0.2833501078593355
2017-05-25,-0.13398597206020507
2017-06-05,0.08769934686873716
2017-06-12,0.025372264139768667
2017-06-19,-0.1888189127328762
2017-06-26,-0.05222164851819044
2017-07-03,-0.05135940225498732
2017-07-10,-0.14617990439152734
2017-07-17,0.10384852686234324
2017-07-24,0.05633396196781771
2017-07-31,0.014637602734664655
2017-08-07,-0.13723963848524004
2017-08-14,-0.1102891961676286
2017-08-21,-0.15160075951486865
2017-08-28,0.1750967136285744
2017-09-04,0.013849127556240196
2017-09-11,-0.13978145696171188
2017-09-18,-0.2288026349517904
2017-09-25,0.035942347245054955
2017-10-09,-0.2766766126551385
2017-10-16,-0.1909595840388204
2017-10-23,-0.12897220731608441
2017-10-30,-0.06707230933019626
2017-11-06,0.04676812231665753
2017-11-13,-0.1339745581429343
2017-11-20,-0.08582248085551673
2017-11-27,-0.17677039213145285
2017-12-04,0.1320830166470525
2017-12-11,0.017964779974031075
2017-12-18,-0.0834776409075013
2017-12-25,0.04050355341334781
2018-01-02,-0.05474426116194445
2018-01-09,-0.2407253780792664
2018-01-16,-0.008556461668449235
2018-01-23,-0.14684328258224336
2018-01-30,-0.0896579766590112
2018-02-06,0.0322127671603119
2018-02-13,0.27304668200882704
2018-02-27,-0.05953442164268747
2018-03-06,0.1532064438479491
2018-03-13,-0.18068639468455822
2018-03-20,-0.06786662446982454
2018-03-27,0.017515641608652207
2018-04-03,-0.10421071980919232
2018-04-12,-0.14262297576598557
2018-04-19,-0.09948928578118958
2018-04-26,0.019354960555746446
2018-05-07,-0.07661554555472003
2018-05-14,-0.04062048034413696
2018-05-21,-0.1651729471248587
2018-05-28,-0.07254930397864826
2018-06-04,-0.0347249770876396
2018-06-11,-0.16326928528508566
2018-06-19,-1.8556333506972798e-05
2018-06-26,0.031069895175453284
2018-07-03,-0.03812248341813323
2018-07-10,0.028321461183987092
2018-07-17,-0.13207439459208162
2018-07-24,-0.3540030743311724
2018-07-31,-0.16168804045602878
2018-08-07,0.13487614949510407
2018-08-14,-0.1969466218162463
2018-08-21,0.05298020311399702
2018-08-28,-0.1835712813555031
2018-09-04,-0.0634178515513902
2018-09-11,-0.08831955516835363
2018-09-18,-0.17244512855445254
2018-09-26,-0.19344032159012864
2018-10-10,-0.15486990290881905
2018-10-17,0.046128787392643845
2018-10-24,-0.08524517664656767
2018-10-31,0.07096341981097967
2018-11-07,0.16321439581167785
2018-11-14,-0.04999551302637748
2018-11-21,-0.42583758014392664
2018-11-28,-0.0002599882621246795
2018-12-05,-0.06860746041896082
2018-12-12,-0.11335160409072752
2018-12-19,-0.1964438087072839
2018-12-26,0.014987214813559366
2019-01-04,-0.12346131535041537
2019-01-11,-0.2271017458507925
2019-01-18,-0.24338081312217516
2019-01-25,-0.17872520201600137
2019-02-01,0.3166555871009967
2019-02-15,0.168836481510825
2019-02-22,-0.1409353007128444
2019-03-01,0.1855073170586508
2019-03-08,-0.2816727089685903
2019-03-15,0.012987446719496273
2019-03-22,-0.17287429009617825
2019-03-29,-0.10310792646202364
2019-04-08,-0.12421884833525594
2019-04-15,-0.08873456513894275
2019-04-22,-0.40106815469341656
2019-04-29,-0.04403583210574189
2019-05-09,-0.06564568891955583
2019-05-16,-0.1958757944420745
2019-05-23,0.10457867620175805
2019-05-30,-0.2311905140885275
2019-06-06,-0.038124339807793735
2019-06-14,-0.011855384238763507
2019-06-21,-0.08292762418429173
2019-06-28,-0.31974371974576066
2019-07-05,-0.009354474214445243
2019-07-12,-0.32087424420529037
2019-07-19,0.19410579285267496
2019-07-26,-0.013505244057495498
2019-08-02,-0.07430536005168019
2019-08-09,0.102817258592142
2019-08-16,-0.010993630438644026
2019-08-23,-0.11326272463433863
2019-08-30,0.1822288733487792
2019-09-06,-0.14197367374942216
2019-09-16,0.03327457742591851
2019-09-23,-0.39792855792797
2019-09-30,-0.06294965349752893
2019-10-14,-0.10726856328533566
2019-10-21,-0.038089807669940086
2019-10-28,-0.08023576896309274
2019-11-04,-0.0883664796658527
2019-11-11,0.09271028610299276
2019-11-18,-0.3932176601147748
2019-11-25,0.04039118428514691
2019-12-02,0.20780770092483422
2019-12-09,0.04728597180410752
2019-12-16,-0.10680845463917338
2019-12-23,-0.17659836533327525
2019-12-30,0.16870118119167038
2020-01-07,0.06993588304275862
2020-01-14,-0.056455204949380965
2020-01-21,-0.014001948818628495
2020-02-05,0.0705465279902966
2020-02-12,0.06825656784267813
2020-02-19,0.08528978537948817
2020-02-26,-0.2601323007712932
2020-03-04,-0.17397631464471094
2020-03-11,-0.07232567191525344
2020-03-18,-0.22512223437192502
2020-03-25,-0.20969024625044116
2020-04-01,-0.01102378235459386
2020-04-09,-0.0690918170311969
2020-04-16,-0.09487507938500574
2020-04-23,-0.11318377706786967
2020-04-30,0.1480515972707373
2020-05-12,-0.12564588380177982
2020-05-19,-0.17143747723897532
2020-05-26,0.051509300552887126
2020-06-02,-0.1333293415332097
2020-06-09,0.08192743948704212
2020-06-16,-0.08477123763502054
2020-06-23,-0.1342698712241497
2020-07-02,0.22546945485261038
2020-07-09,-0.3107556169429982
2020-07-16,-0.1471610680471074
2020-07-23,0.13648782040694032
2020-07-30,0.0005809623340625035
2020-08-06,-0.3063509314162227
2020-08-13,-0.13879962938872964
2020-08-20,-0.26158733372472803
2020-08-27,-0.04808103244688433
2020-09-03,-0.3079511450325083
2020-09-10,-0.00797539375806053
2020-09-17,-0.12439627880937906
2020-09-24,0.14422165599907008
2020-10-09,-0.15366100350978107
2020-10-16,-0.1687155074023419
2020-10-23,-0.028537656355972323
2020-10-30,0.04508814313043009
2020-11-06,-0.17094806556734368
2020-11-13,-0.055789814136515035
2020-11-20,-0.25060255481421323
2020-11-27,-0.035223950748002456
2020-12-04,-0.10817544482088114
2020-12-11,0.07191573961151516
2020-12-18,0.0471450954682319
2020-12-25,0.06059607932911834
2021-01-04,-0.1526940047892701
2021-01-11,-0.22441361941852336
2021-01-18,0.008818008556800863
2021-01-25,-0.129348073182988
2021-02-01,-0.16956876020144065
2021-02-08,0.03150203594110404
2021-02-22,-0.10740573289859967
2021-03-01,-0.2909044053759431
2021-03-08,0.04785921117708676
2021-03-15,-0.0954535217438692
