date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2021-10-13,2.5641799115543864,1.2571782083881966,0.785353419441356,0.5480530692293099,0.41426120913166464,1.2674648431518352
2021-10-14,2.5717891797433046,1.2631098406007133,0.7899913327411676,0.5506615463677162,0.4164689804265345,1.2746399559868222
2021-10-15,2.5440644397068963,1.2498691069080667,0.7802419259048282,0.5461795996974393,0.41736552935092114,1.2645485297698023
2021-10-18,2.5539558481476914,1.2591699448652174,0.7869821432791257,0.5516502122710113,0.4239039428947543,1.2760942790377243
2021-10-19,2.5499088611864207,1.259955688955682,0.7907150812751649,0.5576586954116607,0.42911128451645947,1.2829743405388851
2021-10-20,2.5327928630829795,1.2534763816722017,0.7883031674639235,0.5573664941494567,0.42986751859529887,1.2794675975037222
2021-10-21,2.51314813349613,1.2438033231576828,0.7838709857697728,0.5562929397394212,0.4306298938548365,1.2750857885913585
2021-10-22,2.496378811296553,1.2340849611878508,0.7761657147824823,0.5496804220790344,0.42418413766850177,1.2620359941128731
2021-10-25,2.4881146726752204,1.2353181249327962,0.7789510669005161,0.5548383797390861,0.4303710912075369,1.2684082591048362
2021-10-26,2.475201280483187,1.2287786150555782,0.7752278607918501,0.5519725548387878,0.43002516014636166,1.263022885510925
2021-10-27,2.4224892788592265,1.205202228485093,0.761710640591062,0.5440657507491689,0.42744823143211974,1.2432610380281273
2021-10-28,2.3919143236053175,1.1895382145970754,0.7498083727534639,0.5321077546825927,0.41710474283059196,1.222477819079935
2021-10-29,2.435143714572369,1.2068365628830382,0.7609212945995505,0.5393594022647309,0.42223695585523857,1.2404160865715494
2021-11-01,2.4528760325416568,1.2193283976859854,0.7713061502473791,0.5475164066456996,0.42483558387140896,1.2534534976146112
2021-11-02,2.4178081607954787,1.2047889698862335,0.7615445304989227,0.5403224889900877,0.4172273909815262,1.2359234657057017
2021-11-03,2.4362754441990773,1.214330505418859,0.7660371915313015,0.5436428395417047,0.41799964880445933,1.243203832650112
2021-11-04,2.458899963649791,1.2275182057508514,0.7762663921428932,0.5513097502431891,0.4216194357353725,1.2582442089343429
2021-11-05,2.464502720030999,1.225243102269363,0.772134077693448,0.543321858951932,0.41210034172631593,1.247683666942512
2021-11-08,2.482648577910316,1.232465887499737,0.7764176443108749,0.5445263579384663,0.4143022068026018,1.2542639613483506
2021-11-09,2.501990189484982,1.242207985383681,0.7831179427097589,0.5497709230608164,0.41802047065764253,1.2650332089197995
2021-11-10,2.5217264095915097,1.251398813274687,0.7880077478092375,0.5512033926138185,0.41544825382853917,1.2695817704643835
2021-11-11,2.5473026677132737,1.2630647445728538,0.7954033914838459,0.5557212964262278,0.41819297719541537,1.2816833626811799
2021-11-12,2.556170348798804,1.270016949483659,0.8012490492645986,0.5610573816188064,0.4217069152663361,1.290485606872884
2021-11-15,2.5923548752803556,1.2878459237075681,0.8088886239580588,0.5642176029818171,0.4174447298369428,1.2990670790779657
2021-11-16,2.5811309238020232,1.2834618986899937,0.8041426231600816,0.5592939311137247,0.4130504496036024,1.2905307622082995
2021-11-17,2.6080527633242094,1.298131372761813,0.8134063408617715,0.5666127151838614,0.4195257888998102,1.30657055452422
2021-11-18,2.5859469643565083,1.2883231965505588,0.807959948935105,0.5644485248602815,0.418928256724224,1.3003103670184628
2021-11-19,2.6152729865227515,1.300697676067393,0.8171080767502934,0.571242222199995,0.4241025471551677,1.3150442850124375
2021-11-22,2.6150638891589573,1.3046069295126157,0.8221792244375445,0.5752884831312053,0.4308015217365778,1.3234633777426916
2021-11-23,2.626847907095407,1.309189780319581,0.8265110816190493,0.5773526036808021,0.4303197916557536,1.3276342817715172
2021-11-24,2.638358899573198,1.3136779386430602,0.8289588129581329,0.5777350585105787,0.4294894465995666,1.3301580088072829
2021-11-25,2.6457292889156334,1.3137676464063899,0.8288515425480666,0.5773030513572328,0.42714227519026277,1.33037006313875
2021-11-26,2.6321607857887965,1.3075264859360063,0.8257743640221381,0.5772593913780271,0.42761025275121173,1.3270255684456167
2021-11-29,2.607489222683988,1.2983664969156299,0.8227300282398934,0.5781121199067807,0.4302116431556722,1.3237076307364746
2021-11-30,2.645162888521584,1.3119419901542204,0.8294273048107533,0.5817227489560978,0.43133490168144994,1.3348006817977345
2021-12-01,2.6903318127453497,1.3308813934943278,0.8384556650594504,0.5868059772152819,0.4321452079890768,1.3489522127631952
2021-12-02,2.675406521824566,1.3212974039280045,0.8299495433419669,0.5812147794324375,0.42875615688083024,1.3392773819958959
2021-12-03,2.6911177563194077,1.328239450038402,0.8354072430711523,0.584753975392805,0.4332522584836947,1.3484589485417084
2021-12-06,2.6584793773845368,1.314249026443521,0.8266146607889785,0.5805944966091833,0.42924236570384483,1.3350944547940544
2021-12-07,2.6676698187971595,1.3129222023944715,0.8224628722845154,0.5768454255901055,0.42378641290458946,1.3292886272184643
2021-12-08,2.6781333094031234,1.3224907087724422,0.8330919606286284,0.5854018121144429,0.43208435576696164,1.344853883675398
2021-12-09,2.701765502566328,1.3323232489527672,0.8383789356821836,0.5872626417452552,0.4315625394506678,1.3527507253594697
2021-12-10,2.718997693734117,1.34041331410005,0.8403345698581755,0.5867593225616938,0.4314263485667635,1.3564348417761058
2021-12-13,2.727466729792628,1.345093751662828,0.8426260533317296,0.5891982586756287,0.4351146630369447,1.3624131206488919
2021-12-14,2.7540201774560784,1.3524288195267025,0.8450615652054859,0.5884326018869129,0.4322535576730981,1.3651975055862124
2021-12-15,2.7735116633253796,1.3606741267262084,0.8467312745386045,0.5881195583169765,0.432152302370927,1.3691269833943684
2021-12-16,2.8020846569816027,1.3722560661372936,0.854184392114482,0.592014228572297,0.43602004273010236,1.3823077030927997
2021-12-17,2.8045332298660264,1.3694319820535976,0.849926663442557,0.5882963148179668,0.4305407958719211,1.3753949671352355
2021-12-20,2.816977722924305,1.36653729312387,0.8426468291691984,0.5810556233705674,0.4215363071994535,1.3645455796858688
2021-12-21,2.892202649576266,1.3963447535759366,0.8566566692345394,0.5879455437219997,0.425557850540771,1.3881680126147307
2021-12-22,2.887641562181296,1.397627112136518,0.8601566818549661,0.5919216103461103,0.42738976346406243,1.3921898182638708
2021-12-23,2.846750089016845,1.3853329039538458,0.8568021201764254,0.5929015043665188,0.4300336138136663,1.3885205020741638
2021-12-24,2.8230138903519415,1.366835373824158,0.8464704670281388,0.5834973756857877,0.4222569508138693,1.3697208782767734
2021-12-27,2.8573493556761864,1.3773022335092853,0.8513632235601357,0.5859568148100907,0.42176018041112123,1.3775663792277237
