,rank_ic
2016-08-17,-0.3051604206286818
2016-08-24,-0.21665972102668396
2016-08-31,-0.1615494760778628
2016-09-07,-0.19642440899370342
2016-09-14,-0.2200130283873073
2016-09-23,-0.07270078676505008
2016-09-30,-0.14929174560576397
2016-10-14,-0.0585838922647207
2016-10-21,-0.20847992025332732
2016-10-28,-0.0784331799603491
2016-11-04,-0.1125034158466019
2016-11-11,-0.24253087252068847
2016-11-18,-0.009348945520920447
2016-11-25,-0.10910807998968702
2016-12-02,0.07734752046702321
2016-12-09,-0.12073465271229453
2016-12-16,-0.20874581263504144
2016-12-23,-0.19490514923287183
2016-12-30,-0.06101487730806968
2017-01-09,0.044219513991443526
2017-01-16,-0.05848416085976584
2017-01-23,-0.026307322242498595
2017-02-06,0.004757656943683561
2017-02-13,-0.05660699333929483
2017-02-20,-0.2765969247620036
2017-02-27,-0.2584988260305478
2017-03-06,0.04030801382141567
2017-03-13,-0.11853890126510794
2017-03-20,0.07016180233888471
2017-03-27,0.12791614023726355
2017-04-05,-0.04625460969648985
2017-04-12,0.09406877298612498
2017-04-19,0.012402396024410843
2017-04-26,-0.1586399150950893
2017-05-04,0.15326701087878258
2017-05-11,-0.06786867518243193
2017-05-18,0.16244053601544045
2017-05-25,0.01243187456495759
2017-06-05,0.08124113448250392
2017-06-12,-0.27652942881876463
2017-06-19,0.12428371331683916
2017-06-26,-0.14825336948397522
2017-07-03,0.07386480441779048
2017-07-10,0.20492562651624635
2017-07-17,0.1313970302042193
2017-07-24,-0.05113936944909095
2017-07-31,-0.07206762581495232
2017-08-07,-0.18044635278318308
2017-08-14,-0.1732490277658076
2017-08-21,-0.13682041959587204
2017-08-28,0.07877093011954057
2017-09-04,-0.04793448773426896
2017-09-11,-0.18511661990051706
2017-09-18,-0.03040543871820064
2017-09-25,-0.10775858874142456
2017-10-09,-0.08861119555680731
2017-10-16,0.03211982724155169
2017-10-23,0.024848908114808253
2017-10-30,0.10978043278786832
2017-11-06,0.14999357631012214
2017-11-13,0.18063769576294494
2017-11-20,-0.14064211522680614
2017-11-27,0.053748525183221645
2017-12-04,-0.025951189641861067
2017-12-11,-0.08002887725449914
2017-12-18,0.10258865784069124
2017-12-25,0.009235949976720547
2018-01-02,0.11836864153546184
2018-01-09,-0.10527805235531638
2018-01-16,0.13834480424983184
2018-01-23,-0.027357127034470748
2018-01-30,0.20340632141332735
2018-02-06,-0.17486185755276606
2018-02-13,0.07413383614829047
2018-02-27,-0.1965136266457106
2018-03-06,-0.059524454170524384
2018-03-13,-0.23885500210917687
2018-03-20,-0.1760013316472773
2018-03-27,-0.06602606006709244
2018-04-03,-0.06792576006765406
2018-04-12,0.008866845090736986
2018-04-19,-0.06470594331090515
2018-04-26,0.0032534595131036986
2018-05-07,-0.035199795393863836
2018-05-14,-0.16275918877960036
2018-05-21,-0.06848750412854132
2018-05-28,0.12085129932631528
2018-06-04,0.10666856398260564
2018-06-11,0.19153703142045994
2018-06-19,-0.17947669760489837
2018-06-26,-0.13453854981691635
2018-07-03,0.11648108967317963
2018-07-10,-0.1499037323829122
2018-07-17,-0.027731800894937618
2018-07-24,-0.4019756651092151
2018-07-31,-0.15044501258391565
2018-08-07,-0.017216553519106975
2018-08-14,0.017972230677591607
2018-08-21,0.10677063700092168
2018-08-28,-0.1356403750473045
2018-09-04,-0.1721497404050729
2018-09-11,0.06978666068611601
2018-09-18,0.14728991795224403
2018-09-26,-0.05836801856832757
2018-10-10,-0.04311659610437101
2018-10-17,-0.016306131649000064
2018-10-24,-0.24647813063780386
2018-10-31,-0.17743397475508618
2018-11-07,-0.24417644865636773
2018-11-14,-0.20874863855061246
2018-11-21,-0.1658819234347786
2018-11-28,-0.11046745507005605
2018-12-05,0.04139041477053133
2018-12-12,-0.0977711759507603
