date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2022-07-01,727106.9949231868,725379.1169592282,3.256827586316069,116909.07,149923.02000000002,18.348887568341212,1727.75,0.0,309125.7170998183,416253.3998594099,125379.11695922818
2022-08-01,750654.6922817051,748980.1127582176,3.2536083886622214,121915.11,144521.26,17.746932959956236,1674.4199999999992,0.0,331077.8104730073,417902.3022852103,148980.1127582176
2022-09-01,750419.942804185,748707.6527643201,-0.036377467072401526,130185.0,137169.5,17.813659042758385,1712.0200000000002,0.0,336547.4120368121,412160.24072750803,148707.65276432014
2022-10-10,713457.7312154808,711645.371591733,-4.950167269661088,156047.94,107824.48999999999,18.492506174854555,1812.3400000000013,0.0,286575.81960464106,425069.5519870919,111645.37159173295
2022-11-01,741423.9992761269,739932.3807397651,3.974874323254962,107024.0,114433.98,14.934637954545286,1491.3499999999997,0.0,292516.250145271,447416.1305944941,139932.38073976513
2022-12-01,781374.1941581899,779460.9038639995,5.342180468533475,117108.5,187291.77,19.478520808326945,1912.959999999999,0.0,360786.2362620291,418674.66760197043,179460.90386399953
2023-01-03,770889.2613734528,769225.9706889194,-1.3130784526000916,137841.74,121965.0,16.851106444077065,1663.0900000000001,0.0,343294.8030141009,425931.16767481854,169225.97068891942
2023-02-01,802681.3176567656,801276.6493346989,4.166614215725817,97099.92,128381.81000000001,14.045532457279528,1404.4900000000007,0.0,373172.0224427147,428104.6268919842,201276.64933469892
2023-03-01,816975.7685037499,815470.2805328737,1.7713771155018376,106885.74,138851.0,15.039414231957855,1505.2000000000007,0.0,403631.7983221503,411838.4822107234,215470.2805328737
2023-04-03,803177.3550962476,801561.6032957813,-1.7056019782846876,141379.82,115556.35,15.994983447286709,1615.3999999999992,0.0,376192.5738860679,425369.0294097134,201561.6032957813
2023-05-04,796469.1991369139,794694.4438523455,-0.8567226043762699,161223.41999999998,130003.94,18.28239938942935,1774.3300000000004,0.0,343280.2089713858,451414.2348809597,194694.44385234546
2023-06-01,798060.9841802769,796445.5839295608,0.22035388453536253,126499.94,126559.87000000001,15.8546661856881,1615.0800000000008,0.0,343075.64249533106,453369.9414342298,196445.58392956085
2023-07-03,813234.2522598733,811676.8775968641,1.912408578142144,119282.21,135452.0,15.661797894771798,1557.1000000000004,0.0,359466.11543662427,452210.76216023986,211676.87759686413
2023-08-01,840105.4269857843,838250.6492472836,3.273934786598409,146493.22999999998,153518.88999999998,17.855623256500913,1854.5000000000002,0.0,365635.0282579959,472615.6209892877,238250.64924728358
2023-09-01,820401.0893391406,818711.9864383797,-2.3308854966529124,126199.0,146041.0,16.591884356181076,1688.7800000000009,0.0,383874.8330869263,434837.1533514534,218711.98643837974
2023-10-09,814744.1636726835,813018.135489072,-0.6954644665797094,151855.51,125237.0,17.00487848547017,1725.5600000000002,0.0,355554.12609610776,457464.0093929642,213018.13548907195
2023-11-01,823978.025973291,822447.2523416886,1.1597671000222576,123040.97,121881.48,14.862195488204627,1530.4400000000003,0.0,352908.05272014585,469539.19962154276,222447.2523416886
2023-12-01,848001.0370748796,846088.2704281294,2.8744722557136004,140384.91999999998,177007.66999999998,18.71416284435356,1912.5499999999993,0.0,387681.2449018864,458407.025526243,246088.27042812936
2024-01-02,847792.6264419069,845690.491332828,-0.04701390022817664,171267.0,173394.0,20.32696376745482,2101.620000000001,0.0,387706.1098655156,457984.38146731234,245690.49133282795
2024-02-01,763127.6649861175,760815.4050817566,-10.036187839513977,219400.99,117395.23000000001,22.066833339486312,2312.1699999999983,0.0,283444.2917092376,477371.11337251903,160815.40508175665
2024-03-01,759414.4835496739,757701.4769694821,-0.40928825724025897,122373.29,128469.11,16.515513295684475,1712.77,0.0,287827.1135360593,469874.36343342287,157701.47696948214
2024-04-01,809320.0243360981,807208.931084987,6.533899645215935,152530.79,179488.44,20.512233728083164,2110.83,0.0,312688.0723612441,494520.8587237429,207208.931084987
2024-05-06,796453.3574495935,794108.1461021614,-1.6229732450081524,179223.3,176410.03999999998,22.32606195162581,2344.6699999999983,0.0,307584.11447851814,486524.03162364324,194108.14610216138
2024-06-03,759523.8413832693,757583.101695876,-4.5995050655967535,152363.22999999998,124712.04999999999,18.240064689436313,1940.58,0.0,279151.8452731523,478431.2564227237,157583.101695876
2024-07-01,722379.601891906,720384.3881309966,-4.91018259008269,150213.03,113627.9,18.26193107536556,1995.1599999999983,0.0,243514.00407501063,476870.38405598595,120384.38813099661
2024-08-01,733751.5420832678,731512.305486599,1.5447193941103166,156057.37,160990.03,21.604547439848567,2239.1099999999997,0.0,247018.52936199083,484493.7761246081,131512.30548659898
2024-09-02,718477.940131663,716449.6756520958,-2.0591081956555124,140374.0,144925.24,19.854418908652793,2028.279999999998,0.0,249600.49617868112,466849.17947341467,116449.67565209582
2024-10-08,853131.0612548081,849720.9783392616,18.601627890453763,290146.08999999997,292021.05,34.119443450091524,3410.109999999999,0.0,248275.16220731795,601445.8161319436,249720.9783392616
2024-11-01,852131.8170303404,849109.3582974772,-0.07197892689194685,224166.0,273118.44,29.178844755088758,3022.2099999999973,0.0,294303.8724460891,554805.4858513882,249109.35829747724
2024-12-02,920838.4317374484,918605.9792636475,8.184649042794167,147693.69,243500.0,21.2411687282584,2232.370000000001,0.0,387962.4991459715,530643.480117676,318605.97926364746
2025-01-02,880282.6237560981,878054.6865847594,-4.414438137164522,192501.7,162815.72,20.182008051226095,2227.5299999999997,0.0,356154.94121314224,521899.74537161714,278054.6865847594
2025-02-05,887871.7301883366,885929.7515796765,0.8968763694602755,170126.91999999998,149297.0,17.988179437374548,1941.640000000002,0.0,333529.9461761626,552399.805403514,285929.7515796765
2025-03-03,909688.322492102,907773.2568418093,2.4656024050647485,153156.0,166069.7,17.545883139704234,1914.6999999999996,0.0,344555.03932348895,563218.2175183203,307773.25684180926
2025-04-01,923104.6545241594,920950.8563328874,1.4516399763663257,168537.90000000002,191197.0,19.48505503882632,2153.589999999999,0.0,365120.8552946696,555830.0010382178,320950.85633288743
