date,nav,涨幅%,较本金盈亏
2022-04-19,596665.95,0.5798,-3334.05
2022-04-20,595562.36,-0.185,-4437.64
2022-04-21,586001.63,-1.6053,-13998.37
2022-04-22,585569.13,-0.0738,-14430.87
2022-04-25,565488.57,-3.4292,-34511.43
2022-04-26,555180.48,-1.8229,-44819.52
2022-04-27,557468.74,0.4122,-42531.26
2022-04-28,553687.9,-0.6782,-46312.1
2022-04-29,563364.55,1.7477,-36635.45
2022-05-05,565451.77,0.3705,-34548.23
2022-05-06,562218.64,-0.5718,-37781.36
2022-05-09,568613.05,1.1374,-31386.95
2022-05-10,572262.2,0.6418,-27737.8
2022-05-11,571495.51,-0.134,-28504.49
2022-05-12,575003.19,0.6138,-24996.81
2022-05-13,578219.57,0.5594,-21780.43
2022-05-16,580728.82,0.434,-19271.18
2022-05-17,579281.27,-0.2493,-20718.73
2022-05-18,583464.81,0.7222,-16535.19
2022-05-19,586768.49,0.5662,-13231.51
2022-05-20,589922.33,0.5375,-10077.67
2022-05-23,594547.98,0.7841,-5452.02
2022-05-24,582108.72,-2.0922,-17891.28
2022-05-25,590347.23,1.4153,-9652.77
2022-05-26,592520.7,0.3682,-7479.3
2022-05-27,593479.11,0.1618,-6520.89
2022-05-30,596369.29,0.487,-3630.71
2022-05-31,598204.92,0.3078,-1795.08
2022-06-01,598505.34,0.0502,-1494.66
2022-06-02,599827.75,0.221,-172.25
2022-06-06,602817.55,0.4984,2817.55
2022-06-07,601507.35,-0.2173,1507.35
2022-06-08,601633.3,0.0209,1633.3
2022-06-09,597289.36,-0.722,-2710.64
2022-06-10,601579.02,0.7182,1579.02
2022-06-13,600599.76,-0.1628,599.76
2022-06-14,602996.52,0.3991,2996.52
2022-06-15,602715.2,-0.0467,2715.2
2022-06-16,603595.19,0.146,3595.19
2022-06-17,603378.0,-0.036,3378.0
2022-06-20,606351.31,0.4928,6351.31
2022-06-21,606429.54,0.0129,6429.54
2022-06-22,604319.91,-0.3479,4319.91
2022-06-23,609616.46,0.8764,9616.46
2022-06-24,611193.41,0.2587,11193.41
2022-06-27,613842.18,0.4334,13842.18
2022-06-28,620542.02,1.0915,20542.02
2022-06-29,615338.71,-0.8385,15338.71
2022-06-30,615775.68,0.071,15775.68
2022-07-01,613256.78,-0.4091,13256.78
2022-07-04,613383.37,0.0206,13383.37
2022-07-05,611880.44,-0.245,11880.44
2022-07-06,608659.32,-0.5264,8659.32
2022-07-07,610998.83,0.3844,10998.83
2022-07-08,613006.86,0.3286,13006.86
2022-07-11,613097.65,0.0148,13097.65
2022-07-12,610475.98,-0.4276,10475.98
2022-07-13,615646.22,0.8469,15646.22
2022-07-14,615011.75,-0.1031,15011.75
2022-07-15,607856.1,-1.1635,7856.1
2022-07-18,618334.54,1.7238,18334.54
2022-07-19,622323.78,0.6452,22323.78
2022-07-20,623794.46,0.2363,23794.46
2022-07-21,623001.68,-0.1271,23001.68
2022-07-22,624627.13,0.2609,24627.13
2022-07-25,623037.31,-0.2545,23037.31
2022-07-26,625846.2,0.4508,25846.2
2022-07-27,628247.74,0.3837,28247.74
2022-07-28,629895.45,0.2623,29895.45
2022-07-29,629280.11,-0.0977,29280.11
2022-08-01,627873.78,-0.2235,27873.78
2022-08-02,614776.8,-2.0859,14776.8
2022-08-03,613038.34,-0.2828,13038.34
2022-08-04,617826.46,0.781,17826.46
2022-08-05,620397.1,0.4161,20397.1
2022-08-08,623690.19,0.5308,23690.19
2022-08-09,624567.35,0.1406,24567.35
2022-08-10,625374.34,0.1292,25374.34
2022-08-11,629470.38,0.655,29470.38
2022-08-12,630857.27,0.2203,30857.27
2022-08-15,632098.73,0.1968,32098.73
2022-08-16,635286.37,0.5043,35286.37
2022-08-17,636312.01,0.1614,36312.01
2022-08-18,635731.22,-0.0913,35731.22
2022-08-19,636004.36,0.043,36004.36
2022-08-22,638700.38,0.4239,38700.38
2022-08-23,641209.64,0.3929,41209.64
2022-08-24,634687.57,-1.0172,34687.57
